RaceName,Sex,AgeGroup,CountyName,2020_Biden_Support,count
Caucasian,F,45-64,Tuscola,Not Voting,2
Caucasian,M,45-64,Iosco,5. Strong Oppose,1
Caucasian,M,45-64,Shiawassee,1. Strong Support,3
Caucasian,F,45-64,Luce,5. Strong Oppose,1
Caucasian,M,18-29,Emmet,1. Strong Support,2
Asian,M,30-44,Kent,4. Lean Oppose,1
Caucasian,F,65+,Kent,Undecided/Unsure,8
Unknown,F,45-64,Wayne,5. Strong Oppose,34
Unknown,F,30-44,Wayne,5. Strong Oppose,44
Asian,M,30-44,Oakland,Not Voting,2
Caucasian,M,30-44,Genesee,4. Lean Oppose,17
Hispanic,F,30-44,Macomb,Undecided/Unsure,10
Black,M,30-44,Jackson,1. Strong Support,9
Caucasian,F,30-44,Emmet,Undecided/Unsure,2
Caucasian,F,45-64,Oceana,1. Strong Support,3
Unknown,M,65+,Washtenaw,1. Strong Support,4
Caucasian,F,45-64,Kalkaska,Undecided/Unsure,1
Unknown,F,45-64,Macomb,Undecided/Unsure,1
Caucasian,M,30-44,Manistee,1. Strong Support,1
Unknown,M,45-64,Clinton,1. Strong Support,1
Black,F,30-44,Lake,4. Lean Oppose,1
Unknown,M,18-29,Chippewa,1. Strong Support,1
Caucasian,F,45-64,Genesee,2. Lean Support,20
Caucasian,M,45-64,Washtenaw,5. Strong Oppose,33
Caucasian,F,45-64,Kent,2. Lean Support,40
Caucasian,M,65+,Kalamazoo,4. Lean Oppose,1
Caucasian,M,30-44,Kent,2. Lean Support,138
Caucasian,M,30-44,Muskegon,1. Strong Support,18
Caucasian,F,65+,Lenawee,5. Strong Oppose,20
Black,M,18-29,Genesee,Not Voting,43
Caucasian,F,18-29,Bay,5. Strong Oppose,23
Black,F,65+,Oakland,4. Lean Oppose,30
Hispanic,M,45-64,Oakland,Not Voting,8
Asian,F,30-44,Oakland,4. Lean Oppose,6
Black,F,65+,Muskegon,1. Strong Support,12
Black,F,45-64,Calhoun,1. Strong Support,83
Black,F,30-44,Eaton,1. Strong Support,39
Black,F,45-64,Kent,Not Voting,15
Caucasian,F,45-64,Otsego,5. Strong Oppose,1
Black,M,65+,Saginaw,2. Lean Support,7
Hispanic,M,18-29,Wayne,Not Voting,3
Caucasian,M,18-29,Isabella,5. Strong Oppose,5
Hispanic,M,45-64,Ogemaw,1. Strong Support,3
Unknown,F,45-64,Eaton,5. Strong Oppose,3
Caucasian,M,30-44,Midland,1. Strong Support,1
Hispanic,F,18-29,Kalamazoo,Not Voting,1
Black,M,18-29,Gogebic,2. Lean Support,1
Caucasian,M,45-64,Kalamazoo,2. Lean Support,7
Caucasian,F,30-44,Macomb,5. Strong Oppose,501
Asian,F,45-64,Washtenaw,1. Strong Support,36
Black,F,45-64,Washtenaw,1. Strong Support,221
Caucasian,F,18-29,Midland,5. Strong Oppose,10
Asian,F,30-44,Wayne,2. Lean Support,1
Black,F,18-29,Oakland,Undecided/Unsure,120
Hispanic,F,18-29,Kent,2. Lean Support,45
Black,F,65+,Oakland,2. Lean Support,99
Hispanic,M,45-64,Washtenaw,4. Lean Oppose,4
Black,M,45-64,Berrien,5. Strong Oppose,22
Black,M,45-64,Calhoun,1. Strong Support,37
Black,F,65+,Genesee,Not Voting,17
Hispanic,F,30-44,Bay,4. Lean Oppose,1
Black,F,45-64,Clinton,1. Strong Support,3
Unknown,F,30-44,Lenawee,5. Strong Oppose,3
Hispanic,F,45-64,Kent,4. Lean Oppose,1
Caucasian,M,30-44,Ionia,4. Lean Oppose,2
Caucasian,F,45-64,Shiawassee,Undecided/Unsure,1
Caucasian,M,65+,Kent,1. Strong Support,75
Caucasian,F,65+,Bay,Undecided/Unsure,3
Caucasian,F,45-64,Saginaw,Undecided/Unsure,1
Black,F,45-64,Wayne,2. Lean Support,379
Hispanic,F,65+,Bay,2. Lean Support,5
Hispanic,M,65+,Genesee,1. Strong Support,3
Unknown,M,30-44,Midland,1. Strong Support,1
Black,F,18-29,Monroe,1. Strong Support,1
Caucasian,F,45-64,Bay,2. Lean Support,5
Caucasian,F,45-64,Kalamazoo,4. Lean Oppose,5
Caucasian,M,30-44,St. Clair,5. Strong Oppose,30
Unknown,F,30-44,Macomb,1. Strong Support,72
Unknown,F,45-64,Isabella,1. Strong Support,6
Caucasian,F,18-29,Ottawa,1. Strong Support,25
Caucasian,F,30-44,Calhoun,Undecided/Unsure,15
Caucasian,F,18-29,Kent,5. Strong Oppose,100
Caucasian,F,65+,Kalamazoo,Not Voting,3
Asian,M,30-44,Oakland,Undecided/Unsure,12
Asian,M,30-44,Oakland,4. Lean Oppose,1
Black,F,30-44,Jackson,5. Strong Oppose,5
Caucasian,M,30-44,St. Joseph,5. Strong Oppose,1
Asian,F,18-29,Midland,5. Strong Oppose,4
Asian,F,65+,Macomb,1. Strong Support,13
Caucasian,M,30-44,Eaton,1. Strong Support,10
Caucasian,M,30-44,St. Clair,4. Lean Oppose,9
Caucasian,F,45-64,Newaygo,4. Lean Oppose,1
Caucasian,F,45-64,Macomb,Undecided/Unsure,23
Black,M,30-44,Kalamazoo,1. Strong Support,96
Caucasian,F,18-29,Kent,2. Lean Support,125
Black,M,45-64,Oakland,4. Lean Oppose,41
Hispanic,F,30-44,Sanilac,5. Strong Oppose,5
Caucasian,F,65+,Roscommon,5. Strong Oppose,5
Caucasian,M,18-29,Cheboygan,4. Lean Oppose,4
Caucasian,F,30-44,Monroe,4. Lean Oppose,10
Caucasian,F,65+,Presque Isle,1. Strong Support,4
Hispanic,M,45-64,Lenawee,1. Strong Support,9
Black,F,30-44,Bay,5. Strong Oppose,3
Caucasian,M,18-29,Montcalm,5. Strong Oppose,3
Caucasian,F,45-64,Cheboygan,Undecided/Unsure,1
Caucasian,M,65+,Montmorency,1. Strong Support,1
Caucasian,F,30-44,Montcalm,4. Lean Oppose,2
Caucasian,M,45-64,Clinton,Not Voting,1
Caucasian,M,65+,Jackson,Undecided/Unsure,1
Black,F,30-44,Eaton,Undecided/Unsure,1
Caucasian,F,65+,Ingham,5. Strong Oppose,18
Caucasian,F,30-44,Muskegon,1. Strong Support,41
Black,F,45-64,Oakland,2. Lean Support,300
Caucasian,M,18-29,Washtenaw,4. Lean Oppose,16
Unknown,F,45-64,Wayne,4. Lean Oppose,3
Asian,F,18-29,Washtenaw,1. Strong Support,45
Caucasian,F,18-29,Genesee,2. Lean Support,21
Caucasian,M,18-29,Houghton,5. Strong Oppose,4
Caucasian,F,45-64,Berrien,4. Lean Oppose,1
Hispanic,M,30-44,St. Joseph,5. Strong Oppose,1
Caucasian,F,30-44,Calhoun,1. Strong Support,49
Caucasian,M,30-44,Saginaw,Not Voting,1
Caucasian,M,65+,Cheboygan,1. Strong Support,4
Caucasian,F,45-64,Gladwin,5. Strong Oppose,5
Black,M,65+,Saginaw,Undecided/Unsure,8
Black,F,45-64,Monroe,5. Strong Oppose,4
Caucasian,F,65+,Cass,2. Lean Support,1
Caucasian,M,45-64,St. Clair,2. Lean Support,2
Caucasian,M,45-64,Sanilac,2. Lean Support,1
Caucasian,F,30-44,Calhoun,4. Lean Oppose,7
Caucasian,M,30-44,Cheboygan,5. Strong Oppose,4
Caucasian,F,30-44,Mecosta,2. Lean Support,3
Hispanic,F,30-44,Genesee,4. Lean Oppose,1
Caucasian,F,45-64,Oceana,5. Strong Oppose,2
Caucasian,F,30-44,Lenawee,2. Lean Support,3
Caucasian,M,18-29,Clinton,Undecided/Unsure,1
Unknown,M,65+,Berrien,5. Strong Oppose,1
Caucasian,M,30-44,Montcalm,Undecided/Unsure,1
Caucasian,F,65+,Saginaw,5. Strong Oppose,25
Hispanic,M,65+,Washtenaw,1. Strong Support,2
Black,F,45-64,Kent,Undecided/Unsure,104
Hispanic,F,18-29,Kent,1. Strong Support,214
Black,M,30-44,Kent,5. Strong Oppose,90
Caucasian,M,18-29,Washtenaw,2. Lean Support,39
Unknown,M,18-29,St. Clair,2. Lean Support,6
Asian,M,18-29,Macomb,5. Strong Oppose,14
Asian,F,18-29,Oakland,Not Voting,8
Unknown,F,30-44,Oakland,Not Voting,3
Asian,F,65+,Oakland,Undecided/Unsure,3
Black,M,18-29,Ingham,Undecided/Unsure,6
Caucasian,M,18-29,Grand Traverse,4. Lean Oppose,2
Unknown,F,45-64,Genesee,5. Strong Oppose,10
Caucasian,M,30-44,Jackson,5. Strong Oppose,13
Caucasian,M,65+,Sanilac,5. Strong Oppose,1
Caucasian,M,65+,Montcalm,2. Lean Support,2
Asian,M,45-64,Berrien,2. Lean Support,3
Asian,M,18-29,Berrien,1. Strong Support,3
Caucasian,F,30-44,Osceola,Undecided/Unsure,1
Caucasian,F,45-64,Houghton,2. Lean Support,1
Hispanic,F,45-64,Sanilac,1. Strong Support,1
Black,F,45-64,Macomb,5. Strong Oppose,224
Black,M,65+,Wayne,5. Strong Oppose,331
Black,F,18-29,Oakland,4. Lean Oppose,25
Asian,M,65+,Genesee,1. Strong Support,9
Unknown,F,45-64,Ingham,1. Strong Support,17
Caucasian,F,18-29,St. Joseph,1. Strong Support,5
Caucasian,M,65+,Ogemaw,1. Strong Support,2
Caucasian,U,18-29,Wayne,5. Strong Oppose,3
Unknown,M,45-64,Saginaw,Undecided/Unsure,5
Caucasian,F,65+,Charlevoix,5. Strong Oppose,1
Hispanic,F,65+,Berrien,1. Strong Support,3
Asian,F,18-29,Kalamazoo,5. Strong Oppose,5
Caucasian,F,30-44,Cass,1. Strong Support,3
Caucasian,M,45-64,Shiawassee,Not Voting,1
Caucasian,F,45-64,Ingham,1. Strong Support,63
Unknown,F,45-64,Saginaw,1. Strong Support,10
Caucasian,F,45-64,Calhoun,1. Strong Support,45
Caucasian,F,30-44,Kalamazoo,Not Voting,23
Black,M,30-44,Lake,1. Strong Support,4
Caucasian,F,30-44,St. Clair,4. Lean Oppose,6
Caucasian,M,65+,Montcalm,1. Strong Support,9
Unknown,F,18-29,Kent,Undecided/Unsure,2
Asian,F,65+,Wayne,Undecided/Unsure,5
Unknown,F,30-44,Eaton,1. Strong Support,3
Hispanic,M,45-64,Clinton,1. Strong Support,3
Caucasian,M,30-44,Tuscola,5. Strong Oppose,1
Caucasian,F,18-29,Gladwin,4. Lean Oppose,1
Caucasian,F,30-44,Montmorency,4. Lean Oppose,1
Hispanic,F,65+,Wayne,1. Strong Support,59
Caucasian,M,45-64,Genesee,1. Strong Support,141
Black,M,18-29,Wayne,5. Strong Oppose,437
Unknown,M,45-64,Genesee,1. Strong Support,22
Caucasian,M,30-44,Wayne,4. Lean Oppose,85
Black,F,18-29,Kent,1. Strong Support,319
Black,M,18-29,Isabella,Undecided/Unsure,2
Asian,F,18-29,Oakland,1. Strong Support,107
Caucasian,M,18-29,Marquette,1. Strong Support,2
Black,F,65+,Macomb,5. Strong Oppose,17
Caucasian,F,65+,Grand Traverse,5. Strong Oppose,10
Caucasian,F,65+,Antrim,5. Strong Oppose,3
Caucasian,M,65+,Shiawassee,5. Strong Oppose,4
Caucasian,F,45-64,Clare,4. Lean Oppose,1
Asian,F,45-64,Wayne,4. Lean Oppose,1
Black,M,18-29,St. Clair,1. Strong Support,3
Hispanic,F,30-44,Ingham,Not Voting,3
Caucasian,M,65+,Schoolcraft,5. Strong Oppose,1
Caucasian,F,45-64,Presque Isle,5. Strong Oppose,1
Hispanic,F,30-44,Muskegon,4. Lean Oppose,1
Caucasian,F,45-64,Isabella,Undecided/Unsure,1
Caucasian,F,30-44,Washtenaw,1. Strong Support,268
Black,F,30-44,Washtenaw,1. Strong Support,309
Asian,F,30-44,Macomb,2. Lean Support,9
Black,F,18-29,Kent,5. Strong Oppose,47
Caucasian,M,30-44,Clinton,5. Strong Oppose,14
Hispanic,F,18-29,Oakland,1. Strong Support,82
Caucasian,F,18-29,Wayne,2. Lean Support,41
Hispanic,F,18-29,Ingham,1. Strong Support,16
Caucasian,F,65+,Jackson,5. Strong Oppose,11
Caucasian,F,45-64,Branch,5. Strong Oppose,7
Caucasian,F,65+,Chippewa,5. Strong Oppose,4
Caucasian,M,65+,Ingham,2. Lean Support,1
Hispanic,M,18-29,Macomb,5. Strong Oppose,5
Hispanic,M,18-29,Clinton,1. Strong Support,3
Caucasian,M,30-44,Branch,1. Strong Support,3
Caucasian,F,18-29,Tuscola,5. Strong Oppose,1
Unknown,M,45-64,Tuscola,1. Strong Support,1
Caucasian,F,30-44,Genesee,5. Strong Oppose,174
Hispanic,F,45-64,Genesee,2. Lean Support,4
Caucasian,F,30-44,Midland,5. Strong Oppose,14
Black,M,30-44,Ingham,5. Strong Oppose,67
Hispanic,M,30-44,Kent,2. Lean Support,43
Hispanic,M,18-29,Oakland,5. Strong Oppose,9
Caucasian,M,18-29,Barry,1. Strong Support,4
Hispanic,F,45-64,Berrien,1. Strong Support,5
Black,F,30-44,Clinton,1. Strong Support,3
Black,F,65+,Kent,5. Strong Oppose,8
Caucasian,F,65+,Newaygo,5. Strong Oppose,8
Caucasian,M,45-64,Lapeer,1. Strong Support,2
Caucasian,M,18-29,Isabella,4. Lean Oppose,4
Asian,M,18-29,Kalamazoo,Undecided/Unsure,4
Black,M,45-64,Berrien,Not Voting,3
Caucasian,F,30-44,Tuscola,4. Lean Oppose,1
Caucasian,M,30-44,Leelanau,Undecided/Unsure,1
Hispanic,M,30-44,Clinton,Not Voting,1
Unknown,M,45-64,Macomb,Undecided/Unsure,1
Caucasian,F,65+,Ottawa,5. Strong Oppose,21
Unknown,F,30-44,Genesee,5. Strong Oppose,15
Caucasian,F,45-64,Livingston,Undecided/Unsure,3
Caucasian,F,65+,Calhoun,5. Strong Oppose,14
Black,M,30-44,Kent,4. Lean Oppose,17
Black,M,45-64,Muskegon,5. Strong Oppose,40
Unknown,F,18-29,Bay,Not Voting,2
Black,M,30-44,Eaton,2. Lean Support,4
Unknown,F,45-64,Kent,2. Lean Support,3
Hispanic,M,65+,Calhoun,1. Strong Support,3
Hispanic,M,65+,Ingham,Undecided/Unsure,1
Hispanic,F,65+,Kent,1. Strong Support,29
Caucasian,M,30-44,Genesee,Not Voting,17
Black,M,18-29,Wayne,Not Voting,178
Unknown,F,18-29,Macomb,1. Strong Support,26
Hispanic,M,18-29,Kalamazoo,5. Strong Oppose,10
Caucasian,F,65+,Midland,2. Lean Support,3
Caucasian,M,18-29,Wayne,Not Voting,10
Hispanic,F,30-44,Ingham,4. Lean Oppose,3
Unknown,M,45-64,Berrien,5. Strong Oppose,1
Caucasian,F,18-29,Arenac,5. Strong Oppose,1
Black,F,45-64,Lenawee,1. Strong Support,1
Black,F,65+,Wayne,5. Strong Oppose,378
Caucasian,F,30-44,Macomb,1. Strong Support,469
Caucasian,F,65+,Branch,1. Strong Support,4
Caucasian,M,45-64,St. Clair,5. Strong Oppose,15
Caucasian,F,65+,Kent,4. Lean Oppose,6
Hispanic,F,30-44,Kent,1. Strong Support,257
Caucasian,M,30-44,Genesee,5. Strong Oppose,123
Caucasian,M,30-44,Oakland,Undecided/Unsure,102
Asian,M,30-44,Wayne,5. Strong Oppose,37
Caucasian,F,45-64,Oakland,Not Voting,77
Hispanic,F,18-29,Kent,5. Strong Oppose,42
Caucasian,F,18-29,Calhoun,1. Strong Support,29
Unknown,F,18-29,Oakland,1. Strong Support,34
Caucasian,F,65+,Cass,5. Strong Oppose,4
Black,F,30-44,Kalamazoo,2. Lean Support,10
Hispanic,M,65+,Ottawa,5. Strong Oppose,11
Caucasian,F,30-44,Kalamazoo,4. Lean Oppose,9
Hispanic,M,18-29,Ingham,5. Strong Oppose,6
Unknown,M,18-29,Ingham,1. Strong Support,3
Unknown,M,30-44,Baraga,5. Strong Oppose,3
Caucasian,F,30-44,Delta,4. Lean Oppose,1
Caucasian,F,65+,Osceola,5. Strong Oppose,1
Hispanic,M,18-29,Lenawee,1. Strong Support,2
Caucasian,F,45-64,Oakland,2. Lean Support,142
Black,F,45-64,Ingham,1. Strong Support,82
Caucasian,F,45-64,Isabella,5. Strong Oppose,4
Caucasian,F,45-64,Gogebic,2. Lean Support,1
Black,F,30-44,Ingham,5. Strong Oppose,64
Black,M,30-44,Eaton,1. Strong Support,11
Black,M,65+,Kent,5. Strong Oppose,12
Caucasian,M,65+,St. Joseph,5. Strong Oppose,1
Caucasian,F,65+,Calhoun,1. Strong Support,21
Hispanic,M,65+,Genesee,5. Strong Oppose,2
Black,F,45-64,Macomb,Undecided/Unsure,76
Black,M,18-29,Washtenaw,1. Strong Support,154
Caucasian,M,18-29,Macomb,Not Voting,19
Caucasian,F,30-44,Jackson,5. Strong Oppose,22
Caucasian,F,18-29,Kent,4. Lean Oppose,45
Caucasian,M,18-29,Ingham,Undecided/Unsure,11
Black,F,45-64,Oakland,Undecided/Unsure,242
Black,F,45-64,Ingham,Not Voting,13
Unknown,F,45-64,Berrien,Not Voting,4
Caucasian,F,65+,Manistee,5. Strong Oppose,4
Asian,M,45-64,Kalamazoo,Undecided/Unsure,4
Black,M,65+,Washtenaw,2. Lean Support,3
Black,M,30-44,Calhoun,2. Lean Support,3
Asian,F,30-44,Washtenaw,Not Voting,3
Caucasian,F,18-29,Ottawa,2. Lean Support,7
Asian,M,30-44,Washtenaw,Not Voting,2
Hispanic,F,45-64,Ingham,1. Strong Support,16
Caucasian,F,65+,Bay,1. Strong Support,15
Caucasian,F,45-64,St. Clair,5. Strong Oppose,27
Caucasian,M,65+,Presque Isle,1. Strong Support,1
Caucasian,M,30-44,Kent,Undecided/Unsure,86
Caucasian,M,45-64,Livingston,5. Strong Oppose,10
Black,M,30-44,Oakland,5. Strong Oppose,390
Caucasian,M,18-29,Berrien,1. Strong Support,16
Unknown,F,65+,Oakland,1. Strong Support,86
Hispanic,F,18-29,Oakland,Undecided/Unsure,21
Caucasian,F,65+,Alger,1. Strong Support,2
Caucasian,F,30-44,Lenawee,5. Strong Oppose,25
Black,M,30-44,Muskegon,Undecided/Unsure,7
Caucasian,F,65+,Cheboygan,Not Voting,2
Caucasian,M,45-64,Allegan,2. Lean Support,1
Caucasian,F,45-64,Otsego,1. Strong Support,3
Caucasian,M,30-44,Cass,1. Strong Support,1
Unknown,F,30-44,Wayne,Not Voting,6
Unknown,M,45-64,Calhoun,1. Strong Support,2
Caucasian,M,45-64,Benzie,1. Strong Support,1
Hispanic,M,45-64,St. Clair,5. Strong Oppose,1
Hispanic,F,30-44,Newaygo,1. Strong Support,1
Caucasian,M,30-44,Washtenaw,2. Lean Support,28
Black,F,18-29,Wayne,Not Voting,241
Caucasian,M,30-44,Bay,5. Strong Oppose,22
Caucasian,M,30-44,Oakland,Not Voting,53
Asian,M,45-64,Oakland,5. Strong Oppose,96
Unknown,M,65+,Oakland,Undecided/Unsure,10
Caucasian,M,30-44,St. Clair,Undecided/Unsure,2
Black,F,45-64,Lake,1. Strong Support,5
Caucasian,M,65+,Dickinson,1. Strong Support,2
Black,M,45-64,Bay,5. Strong Oppose,3
Hispanic,F,65+,Lenawee,Undecided/Unsure,3
Black,F,30-44,Washtenaw,4. Lean Oppose,3
Asian,M,65+,Oakland,4. Lean Oppose,1
Caucasian,M,45-64,Cass,5. Strong Oppose,2
Caucasian,F,18-29,Newaygo,1. Strong Support,2
Hispanic,F,18-29,Kalamazoo,5. Strong Oppose,1
Caucasian,F,18-29,Montcalm,2. Lean Support,1
Hispanic,M,18-29,Kalamazoo,Not Voting,1
Asian,F,45-64,Muskegon,1. Strong Support,1
Unknown,F,18-29,Eaton,1. Strong Support,1
Caucasian,F,65+,Macomb,Undecided/Unsure,17
Caucasian,F,45-64,Osceola,1. Strong Support,3
Caucasian,F,45-64,Oakland,Undecided/Unsure,160
Black,F,30-44,Macomb,1. Strong Support,1158
Black,M,45-64,Kalamazoo,Undecided/Unsure,15
Caucasian,M,30-44,Bay,1. Strong Support,6
Black,F,45-64,Macomb,Not Voting,7
Hispanic,M,45-64,Kent,Undecided/Unsure,29
Caucasian,F,18-29,Jackson,5. Strong Oppose,5
Black,F,45-64,Washtenaw,Undecided/Unsure,22
Black,F,30-44,St. Joseph,1. Strong Support,2
Caucasian,F,65+,Newaygo,Not Voting,1
Caucasian,F,65+,Iron,1. Strong Support,2
Hispanic,M,18-29,Eaton,5. Strong Oppose,3
Unknown,F,30-44,Kalamazoo,4. Lean Oppose,2
Hispanic,F,45-64,Macomb,Undecided/Unsure,6
Caucasian,M,18-29,Grand Traverse,1. Strong Support,4
Caucasian,F,30-44,Mason,5. Strong Oppose,5
Caucasian,F,65+,Alpena,1. Strong Support,1
Caucasian,F,30-44,Montmorency,5. Strong Oppose,1
Caucasian,F,65+,Kalamazoo,2. Lean Support,2
Caucasian,F,65+,Allegan,5. Strong Oppose,8
Caucasian,F,45-64,Bay,5. Strong Oppose,18
Caucasian,F,18-29,Marquette,1. Strong Support,41
Black,F,30-44,Berrien,Undecided/Unsure,16
Hispanic,F,18-29,Muskegon,5. Strong Oppose,4
Black,F,45-64,Saginaw,5. Strong Oppose,72
Black,F,45-64,Muskegon,Undecided/Unsure,6
Caucasian,F,45-64,Keweenaw,1. Strong Support,2
Black,M,30-44,Ottawa,1. Strong Support,5
Caucasian,F,18-29,Muskegon,2. Lean Support,4
Black,F,45-64,Calhoun,4. Lean Oppose,6
Asian,F,65+,Ingham,1. Strong Support,2
Caucasian,F,45-64,Cass,1. Strong Support,5
Caucasian,M,45-64,Clinton,5. Strong Oppose,2
Caucasian,F,65+,Lake,1. Strong Support,1
Caucasian,M,65+,Gogebic,1. Strong Support,2
Caucasian,F,65+,Allegan,Undecided/Unsure,1
Unknown,F,65+,Ingham,5. Strong Oppose,1
Hispanic,M,45-64,Saginaw,1. Strong Support,33
Caucasian,F,18-29,Grand Traverse,5. Strong Oppose,9
Hispanic,F,30-44,Oakland,5. Strong Oppose,22
Black,F,45-64,Saginaw,Undecided/Unsure,27
Caucasian,F,45-64,Mason,1. Strong Support,5
Black,M,45-64,Genesee,4. Lean Oppose,6
Caucasian,F,30-44,St. Clair,Not Voting,2
Caucasian,F,30-44,Manistee,Undecided/Unsure,1
Caucasian,F,45-64,Wayne,5. Strong Oppose,540
Unknown,F,45-64,Kalamazoo,1. Strong Support,11
Caucasian,M,65+,Bay,1. Strong Support,7
Asian,F,45-64,Wayne,5. Strong Oppose,44
Caucasian,F,65+,Oceana,1. Strong Support,6
Black,M,65+,Genesee,Undecided/Unsure,115
Caucasian,M,45-64,Ingham,5. Strong Oppose,14
Black,M,30-44,Genesee,Undecided/Unsure,546
Black,F,18-29,Kent,2. Lean Support,59
Unknown,F,30-44,Calhoun,5. Strong Oppose,4
Caucasian,M,18-29,Lenawee,1. Strong Support,1
Caucasian,M,45-64,Ingham,Undecided/Unsure,3
Caucasian,M,18-29,Oakland,Undecided/Unsure,61
Black,M,65+,Wayne,Not Voting,58
Black,M,30-44,Macomb,2. Lean Support,31
Black,M,30-44,Washtenaw,Undecided/Unsure,27
Caucasian,M,65+,Midland,5. Strong Oppose,3
Hispanic,F,30-44,Clinton,1. Strong Support,2
Caucasian,M,45-64,Houghton,1. Strong Support,4
Caucasian,F,65+,Gratiot,1. Strong Support,1
Caucasian,F,45-64,Midland,5. Strong Oppose,8
Caucasian,F,65+,Roscommon,1. Strong Support,1
Caucasian,M,30-44,Emmet,Undecided/Unsure,1
Hispanic,F,18-29,Genesee,Undecided/Unsure,11
Caucasian,M,45-64,Sanilac,5. Strong Oppose,1
Caucasian,M,30-44,Newaygo,5. Strong Oppose,2
Black,F,65+,Jackson,Undecided/Unsure,1
Hispanic,F,30-44,Wayne,1. Strong Support,140
Unknown,M,30-44,Kalamazoo,1. Strong Support,12
Black,F,65+,Kent,4. Lean Oppose,8
Hispanic,M,18-29,Wayne,Undecided/Unsure,5
Caucasian,M,65+,Cass,1. Strong Support,4
Asian,F,18-29,Genesee,Undecided/Unsure,1
Caucasian,M,30-44,Alpena,5. Strong Oppose,11
Asian,M,18-29,Oakland,Not Voting,2
Caucasian,F,65+,Oakland,Undecided/Unsure,154
Caucasian,M,65+,Oakland,2. Lean Support,102
Unknown,F,45-64,Oakland,5. Strong Oppose,51
Caucasian,F,18-29,Tuscola,Undecided/Unsure,2
Black,F,30-44,Saginaw,Undecided/Unsure,12
Caucasian,F,45-64,Ionia,1. Strong Support,9
Caucasian,F,30-44,Clare,5. Strong Oppose,6
Caucasian,F,30-44,Wexford,Undecided/Unsure,2
Black,M,18-29,Isabella,1. Strong Support,3
Caucasian,M,30-44,Kalkaska,5. Strong Oppose,6
Caucasian,F,30-44,Wexford,4. Lean Oppose,6
Unknown,F,45-64,Muskegon,4. Lean Oppose,3
Hispanic,F,65+,Kent,2. Lean Support,2
Black,F,45-64,Livingston,1. Strong Support,1
Unknown,M,30-44,Eaton,5. Strong Oppose,1
Asian,M,30-44,Oakland,1. Strong Support,132
Caucasian,M,30-44,Calhoun,5. Strong Oppose,25
Caucasian,M,30-44,Kent,Not Voting,32
Hispanic,F,30-44,Berrien,5. Strong Oppose,4
Hispanic,M,65+,Ingham,1. Strong Support,4
Caucasian,M,65+,Jackson,1. Strong Support,5
Asian,M,30-44,Bay,1. Strong Support,4
Caucasian,M,30-44,Lenawee,1. Strong Support,5
Black,M,45-64,Saginaw,Undecided/Unsure,14
Caucasian,M,30-44,Mecosta,4. Lean Oppose,3
Caucasian,F,30-44,Berrien,Not Voting,4
Caucasian,F,65+,Arenac,5. Strong Oppose,3
Caucasian,M,45-64,Montcalm,2. Lean Support,1
Caucasian,M,65+,Wayne,Undecided/Unsure,17
Caucasian,F,45-64,Kent,5. Strong Oppose,68
Caucasian,M,45-64,Kent,2. Lean Support,17
Caucasian,M,45-64,Washtenaw,4. Lean Oppose,3
Black,M,30-44,Oakland,Undecided/Unsure,221
Unknown,M,45-64,Macomb,1. Strong Support,17
Caucasian,F,18-29,Saginaw,5. Strong Oppose,11
Caucasian,F,18-29,Ionia,1. Strong Support,4
Caucasian,F,65+,Lapeer,1. Strong Support,10
Hispanic,M,18-29,Macomb,Undecided/Unsure,4
Asian,M,45-64,Jackson,1. Strong Support,2
Hispanic,M,18-29,Genesee,1. Strong Support,2
Hispanic,M,65+,Midland,1. Strong Support,1
Caucasian,F,65+,Macomb,1. Strong Support,270
Black,M,65+,Wayne,2. Lean Support,71
Asian,M,45-64,Macomb,5. Strong Oppose,36
Black,F,30-44,Oakland,Undecided/Unsure,235
Unknown,F,18-29,Macomb,5. Strong Oppose,12
Caucasian,F,65+,Monroe,Not Voting,3
Unknown,F,30-44,Kent,2. Lean Support,13
Caucasian,F,45-64,Jackson,2. Lean Support,4
Unknown,F,18-29,Berrien,2. Lean Support,3
Caucasian,M,30-44,Mecosta,5. Strong Oppose,3
Black,M,18-29,Ottawa,1. Strong Support,2
Caucasian,F,65+,Calhoun,2. Lean Support,1
Caucasian,M,45-64,Gratiot,1. Strong Support,1
Caucasian,M,30-44,Delta,4. Lean Oppose,1
Caucasian,F,65+,Kalamazoo,Undecided/Unsure,8
Caucasian,M,18-29,Oakland,5. Strong Oppose,226
Black,M,45-64,Berrien,1. Strong Support,110
Black,M,30-44,Kent,Not Voting,8
Hispanic,F,30-44,Kent,4. Lean Oppose,3
Caucasian,F,18-29,Washtenaw,5. Strong Oppose,57
Hispanic,M,18-29,Ottawa,1. Strong Support,14
Asian,M,30-44,Ingham,1. Strong Support,12
Caucasian,M,18-29,Bay,Not Voting,5
Hispanic,M,45-64,Oakland,4. Lean Oppose,5
Caucasian,F,45-64,Jackson,5. Strong Oppose,18
Black,M,18-29,Macomb,Not Voting,9
Black,M,30-44,Calhoun,4. Lean Oppose,5
Hispanic,F,18-29,Clinton,5. Strong Oppose,4
Caucasian,F,65+,Osceola,1. Strong Support,4
Black,F,18-29,Calhoun,2. Lean Support,7
Hispanic,M,18-29,Genesee,Undecided/Unsure,2
Caucasian,F,18-29,Montcalm,1. Strong Support,1
